,uBlue,Blue,Green,Red,Swir1,Nir,Swir2,dt
28,608.0,608.0,839.0,870.0,2066.0,1889.595010845987,1568.0,1987-05-01
29,541.0,541.0,790.0,797.0,1868.9999999999995,2155.0,1386.0,1987-06-01
30,400.0,400.0,632.0,660.0,1724.0,2180.0,1251.0,1987-07-01
31,469.32862903225805,469.32862903225805,655.5,693.0,1615.5,2008.0,1177.0,1987-08-01
32,1107.0,1107.0,1218.0,1147.0,1649.0,2250.0,1128.0,1987-09-01
33,378.0,378.0,526.0,477.0,1129.0,1848.0000000000002,543.0,1987-10-01
38,504.5,504.5,757.5,781.4248457655636,2021.4839572192514,2273.5145600991323,1348.3527684563758,1988-03-01
39,819.2729555236729,819.2729555236729,1084.4358090185676,1179.3931054461182,2350.770038167939,2072.525500322789,1800.8762886597938,1988-04-01
40,502.99999999999994,502.99999999999994,736.0,799.0,1936.9999999999998,1489.0,1672.0,1988-05-01
42,483.3145400593472,483.3145400593472,714.5,747.3268839103869,1872.9,2257.7023809523807,1330.8130816959667,1988-07-01
43,433.0,433.0,672.0,691.0,1645.0,2126.9999999999995,1162.0,1988-08-01
44,574.1045939294504,574.1045939294504,696.0,670.1213130352046,1246.0,1957.25,825.8718592964824,1988-09-01
45,470.0,470.0,635.0,659.0,1434.0,1993.9999999999995,902.0,1988-10-01
47,458.00000000000006,458.00000000000006,620.0,711.0,1819.0,1528.0,1301.0,1988-12-01
48,422.0,422.0,476.0,508.0,1273.0,1051.0,839.0,1989-01-01
50,395.50000000000006,395.50000000000006,580.5,552.275922059847,1534.5,1960.5,998.7504892367906,1989-03-01
51,392.00000000000006,392.00000000000006,670.0,592.0,1818.0,2551.9999999999995,1191.0,1989-04-01
52,550.0,550.0,776.0,816.0,1889.9999999999998,1795.0,1509.0,1989-05-01
53,507.0,507.0,748.0,764.0000000000001,2054.0000000000005,2172.0,1484.0,1989-06-01
54,436.5,436.5,674.5,665.0,1879.1666666666667,2551.0,1236.0,1989-07-01
55,478.11460554371,478.11460554371,675.0704809286898,679.0,1747.3372093023254,2346.0,1206.5,1989-08-01
56,441.99999999999994,441.99999999999994,629.0,619.0,1405.0,2058.4285714285716,954.0,1989-09-01
57,418.0,418.0,585.3209586466165,496.0,1376.9211864406782,2201.600977198697,790.8636363636365,1989-10-01
58,348.0,348.0,523.0,515.0,1317.0,2372.0,657.0,1989-11-01
59,430.0,430.0,594.0,620.0,1723.0,2222.0,983.0,1989-12-01
60,446.0,446.0,598.0,685.0,1932.0,1667.0,1381.0,1990-01-01
